field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.magnetic_field.x,field.magnetic_field.y,field.magnetic_field.z,field.fluid_pressure,field.temperature,field.measured.pitch,field.measured.roll,field.measured.yaw,field.alt_error,field.aspd_error,field.xtrack_error,field.wp_dist,label
0.589,0.001,-0.02,-0.0588399,0.4511059,9.50264385,-558000.0,-55000.0,-924000.0,97734.07593,38.45,-2.088458061,9.60470295,-70.86633301,0.229999989,-168.1379395,-34.99370193,9.0,0
0.589,0.001,-0.02,-0.0588399,0.4511059,9.50264385,-558000.0,-55000.0,-924000.0,97734.07593,38.45,-2.088458061,9.60470295,-70.86633301,0.229999989,-168.1379395,-34.99370193,9.0,0
0.589,0.001,-0.02,-0.0588399,0.4511059,9.50264385,-558000.0,-55000.0,-924000.0,97734.07593,38.45,-2.088458061,9.60470295,-70.86633301,0.229999989,-168.1379395,-34.99370193,9.0,0
0.589,0.001,-0.02,-0.0588399,0.4511059,9.50264385,-558000.0,-55000.0,-924000.0,97734.07593,38.45,-2.088458061,9.60470295,-70.86633301,0.229999989,-168.1379395,-34.99370193,9.0,0
0.55,-0.006,-0.031,-0.0980665,0.4314926,9.3751574,-558000.0,-55000.0,-924000.0,97734.07593,38.45,-2.088458061,9.60470295,-70.86633301,0.229999989,-168.1379395,-34.99370193,9.0,0
0.5293333333333333,-0.008,-0.036,-0.0621087833333333,0.4870636166666667,9.407846233333334,-567666.6666666666,-61000.0,-924333.3333333334,97733.76261666667,38.45,-2.088458061,9.60470295,-70.86633301,0.299999982,-168.1379395,-33.28031921,10.0,0
0.5086666666666667,-0.01,-0.041,-0.0261510666666666,0.5426346333333334,9.440535066666667,-577333.3333333334,-67000.0,-924666.6666666666,97733.44930333331,38.45,-2.088458061,9.60470295,-70.86633301,0.299999982,-168.1379395,-33.28031921,10.0,0
0.488,-0.012,-0.046,0.00980665,0.59820565,9.4732239,-587000.0,-73000.0,-925000.0,97733.13599,38.45,-2.088458061,9.60470295,-70.86633301,0.299999982,-168.1379395,-33.28031921,10.0,0
0.4786666666666667,-0.0223333333333333,-0.054,0.0261510666666666,0.5949367666666667,9.613785883333334,-594000.0,-86333.33333333333,-927000.0,97734.5459,38.45,-2.088458061,9.60470295,-70.86633301,0.370000005,-169.2520142,-31.54146957,12.0,0
0.4693333333333333,-0.0326666666666666,-0.062,0.0424954833333333,0.5916678833333333,9.754347866666668,-601000.0,-99666.66666666669,-929000.0,97735.95581,38.45,-2.088458061,9.60470295,-70.86633301,0.4099999965,-169.2520142,-30.67453384,13.0,0
