time,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.magnetic_field.x,field.magnetic_field.y,field.magnetic_field.z,field.fluid_pressure,field.temperature,field.airspeed,field.measured.pitch,field.measured.roll,field.measured.yaw,field.alt_error,field.aspd_error,field.xtrack_error,field.wp_dist
2018-10-05 19:56:52.800,0.536,-0.254,0.229,-1.8044236,1.24544455,13.1801376,-184000.0,204000.0,-532000.0,97319.84253,39.83,0.0,-6.09405756,-38.7072258,-134.5668335,0.604999989,-1070.7095335,-36.08397293,7.5
2018-10-05 19:56:52.840,0.52425,-0.267,0.22575,-1.789713625,1.1792496625,13.655760125,-186750.0,199250.0,-534250.0,97321.8261725,39.83,0.0,-6.09405756,-38.7072258,-134.5668335,0.699999988,-1066.875122,-34.87319565,9.0
2018-10-05 19:56:52.880,0.5125,-0.28,0.2225,-1.77500365,1.113054775,14.13138265,-189500.0,194500.0,-536500.0,97323.809815,39.83,0.0,-6.09405756,-38.7072258,-134.5668335,0.7849999965,-1066.875122,-33.666088105,10.0
2018-10-05 19:56:52.920,0.50075,-0.293,0.21925,-1.760293675,1.0468598875,14.607005175,-192250.0,189750.0,-538750.0,97325.7934575,39.83,0.0,-6.09405756,-38.7072258,-134.5668335,0.870000005,-1066.875122,-32.45898056,11.0
2018-10-05 19:56:52.960,0.489,-0.306,0.216,-1.7455837,0.980665,15.0826277,-195000.0,185000.0,-541000.0,97327.7771,39.83,0.0,-6.09405756,-38.7072258,-134.5668335,0.870000005,-1066.875122,-32.45898056,11.0
2018-10-05 19:56:53.000,0.5036666666666667,-0.31,0.218,-1.6867438,1.0558493166666667,15.795244266666666,-200666.66666666663,170333.33333333334,-542666.6666666666,97327.21964666666,39.82666666666667,0.0,-6.09405756,-38.7072258,-134.5668335,1.0,-1032.515869,-30.08484268,14.0
2018-10-05 19:56:53.040,0.5183333333333333,-0.314,0.22,-1.6279039,1.1310336333333333,16.507860833333332,-206333.3333333333,155666.66666666666,-544333.3333333334,97326.66219333334,39.82333333333333,0.0,-3.756761551,-25.86024666,-142.1260529,1.0,-1032.515869,-30.08484268,14.0
2018-10-05 19:56:53.080,0.533,-0.318,0.222,-1.569064,1.20621795,17.2204774,-212000.0,141000.0,-546000.0,97326.10474,39.82,0.0,-3.756761551,-25.86024666,-142.1260529,1.0450000165,-1032.515869,-28.90280628,15.0
2018-10-05 19:56:53.120,0.523,-0.305,0.2095,-1.554354025,1.299381125,17.333253875,-212000.0,141000.0,-546000.0,97326.10474,39.82,0.0,-3.756761551,-25.86024666,-142.1260529,1.090000033,-1032.515869,-27.72076988,16.0
2018-10-05 19:56:53.160,0.513,-0.292,0.197,-1.53964405,1.3925443,17.44603035,-212000.0,141000.0,-546000.0,97326.10474,39.82,0.0,-3.756761551,-25.86024666,-142.1260529,1.105000019,-1023.808075,48.47043706,17.0
