time,field.airspeed,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.magnetic_field.x,field.magnetic_field.y,field.magnetic_field.z,field.fluid_pressure,field.temperature,field.alt_error,field.aspd_error,field.xtrack_error,field.wp_dist,field.measured.pitch,field.measured.roll,field.measured.yaw,label
2018-07-21 00:33:19.000,19.3867607117,0.447,-0.196,-0.164,-1.1571847,0.81395195,10.8461549,31000.0,-354000.0,-303000.0,97214.77661,59.59,1.889999986,-380.6278076,-25.99288177,18.0,-3.372425556,27.78909492,-92.62657928,0.0
2018-07-21 00:33:19.040,19.3867607117,0.4295,-0.1945,-0.1845,-1.2160246,0.701175475,10.694151825,34000.0,-359500.0,-295000.0,97213.339235,59.59,1.889999986,-380.6278076,-25.99288177,18.0,-3.372425556,27.78909492,-92.62657928,0.0
2018-07-21 00:33:19.080,19.3867607117,0.412,-0.193,-0.205,-1.2748645,0.588399,10.54214875,37000.0,-365000.0,-287000.0,97211.90186,59.59,1.889999986,-380.6278076,-25.99288177,18.0,-3.372425556,27.78909492,-92.62657928,0.0
2018-07-21 00:33:19.120,19.3867607117,0.3773333333333333,-0.208,-0.218,-1.3337044,0.8074141833333334,10.81673495,38333.333333333336,-368666.6666666667,-282000.0,97212.84587,59.586666666666666,2.159999847,-395.6001282,-158.9363556,20.0,-3.372425556,27.78909492,-92.62657928,0.0
2018-07-21 00:33:19.160,19.3867607117,0.3426666666666667,-0.223,-0.2309999999999999,-1.3925443,1.0264293666666666,11.09132115,39666.66666666666,-372333.3333333333,-277000.0,97213.78988,59.583333333333336,2.284999847,-351.1851349,-157.99805450000002,21.0,-3.372425556,27.78909492,-92.62657928,0.0
2018-07-21 00:33:19.200,19.3867607117,0.308,-0.238,-0.244,-1.4513842,1.24544455,11.36590735,41000.0,-376000.0,-272000.0,97214.73389,59.58,2.409999847,-306.7701416,-157.0597534,22.0,-3.372425556,27.78909492,-92.62657928,0.0
2018-07-21 00:33:19.240,19.3867607117,0.2533333333333333,-0.2446666666666666,-0.263,-1.4088887166666666,0.9675894666666668,12.1406327,43666.66666666666,-378666.6666666667,-268333.3333333333,97216.92301666668,59.58,2.409999847,-306.7701416,-157.0597534,22.0,-3.372425556,27.78909492,-92.62657928,0.0
2018-07-21 00:33:19.280,19.3867607117,0.1986666666666666,-0.2513333333333333,-0.282,-1.3663932333333333,0.6897343833333334,12.91535805,46333.333333333336,-381333.3333333333,-264666.6666666667,97219.11214333332,59.58,2.529999852,-322.723114,-156.1256485,23.0,-3.372425556,27.78909492,-92.62657928,0.0
2018-07-21 00:33:19.320,19.3867607117,0.144,-0.258,-0.301,-1.32389775,0.4118793,13.6900834,49000.0,-384000.0,-261000.0,97221.30127,59.58,2.649999857,-338.6760864,-155.1915436,24.0,-3.372425556,27.78909492,-92.62657928,0.0
2018-07-21 00:33:19.360,19.46356086734,0.1009999999999999,-0.2465,-0.3045,-1.387640975,0.34323275,13.38607725,51000.0,-385000.0,-258000.0,97221.844485,59.575,2.649999857,-338.6760864,-155.1915436,24.0,-2.01270175,36.04430008,-86.03304291,0.0
2018-07-21 00:33:19.400,19.54036102298,0.058,-0.235,-0.308,-1.4513842,0.2745862,13.0820711,53000.0,-386000.0,-255000.0,97222.3877,59.57,2.7549998760000003,-350.5907135,-154.27437594999998,25.0,-2.01270175,36.04430008,-86.03304291,0.0
2018-07-21 00:33:19.440,19.61716117862,0.0005,-0.2165,-0.3289999999999999,-1.426867575,0.269682875,12.6701918,55000.0,-385500.0,-255000.0,97220.959475,59.565,2.859999895,-362.5053406,-153.3572083,26.0,-2.01270175,36.04430008,-86.03304291,0.0
2018-07-21 00:33:19.480,19.69396133426,-0.057,-0.198,-0.35,-1.40235095,0.26477955,12.2583125,57000.0,-385000.0,-255000.0,97219.53125,59.56,2.9499999285,-373.54078675,-152.4527283,27.0,-2.01270175,36.04430008,-86.03304291,0.0
2018-07-21 00:33:19.520,19.7707614899,-0.04625,-0.1965,-0.36,-1.426867575,0.475622525,12.07198615,57750.0,-384250.0,-256250.0,97220.7321175,59.56,3.039999962,-384.5762329,-151.5482483,28.0,-2.01270175,36.04430008,-86.03304291,0.0
2018-07-21 00:33:19.560,19.84756164554,-0.0355,-0.195,-0.37,-1.4513842,0.6864655,11.8856598,58500.0,-383500.0,-257500.0,97221.932985,59.56,3.1299999955,-388.80958555,-150.64797975,29.0,-2.01270175,36.04430008,-86.03304291,0.0
2018-07-21 00:33:19.600,19.92436180118,-0.02475,-0.1935,-0.38,-1.475900825,0.897308475,11.69933345,59250.0,-382750.0,-258750.0,97223.1338525,59.56,3.220000029,-393.0429382,-149.7477112,30.0,-2.01270175,36.04430008,-86.03304291,0.0
2018-07-21 00:33:19.640,20.00116195682,-0.014,-0.192,-0.39,-1.50041745,1.10815145,11.5130071,60000.0,-382000.0,-260000.0,97224.33472,59.56,3.2733333113333334,-400.5207010666667,-149.1559906,30.33333333333333,-2.01270175,36.04430008,-86.03304291,0.0
2018-07-21 00:33:19.680,20.07796211246,-0.0465,-0.181,-0.4215,-1.318994425,0.8776951749999999,11.508103775,61000.0,-379000.0,-263000.0,97227.13013,59.56,3.3266665936666664,-407.9984639333333,-148.56427,30.666666666666668,-2.01270175,36.04430008,-86.03304291,0.0
2018-07-21 00:33:19.720,20.1547622681,-0.079,-0.17,-0.453,-1.1375714,0.6472389,11.50320045,62000.0,-376000.0,-266000.0,97229.92554,59.56,3.379999876,-415.4762268,-147.9725494,31.0,-2.01270175,36.04430008,-86.03304291,0.0
2018-07-21 00:33:19.760,20.15265712741,-0.0775,-0.1815,-0.43,-1.024794925,0.328522775,10.949124725,69000.0,-374500.0,-268500.0,97230.896,59.555,3.379999876,-415.4762268,-147.9725494,31.0,-2.918628693,35.74515533,-76.44602203,0.0
2018-07-21 00:33:19.800,20.15055198672,-0.076,-0.193,-0.407,-0.91201845,0.00980665,10.395049,76000.0,-373000.0,-271000.0,97231.86646,59.55,3.379999876,-415.4762268,-147.9725494,31.0,-2.918628693,35.74515533,-76.44602203,0.0
2018-07-21 00:33:19.840,20.14844684603,-0.027,-0.2063333333333333,-0.3823333333333333,-0.8401030166666666,0.0065377666666671,10.940952516666666,77333.33333333333,-370333.3333333333,-273000.0,97231.57145666669,59.55,3.529999852,-406.98365785,-146.2311935,33.0,-2.918628693,35.74515533,-76.44602203,0.0
2018-07-21 00:33:19.880,20.14634170534,0.0219999999999999,-0.2196666666666666,-0.3576666666666667,-0.7681875833333334,0.0032688833333343,11.486856033333334,78666.66666666667,-367666.6666666667,-275000.0,97231.27645333334,59.55,3.679999828,-398.4910889,-144.4898376,35.0,-2.918628693,35.74515533,-76.44602203,0.0
