time,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.fluid_pressure,field.magnetic_field.x,field.magnetic_field.y,field.magnetic_field.z,field.temperature,field.alt_error,field.aspd_error,field.xtrack_error,field.wp_dist,field.measured.pitch,field.measured.roll,field.measured.yaw,label,field.airspeed
2018-09-11 19:16:59.520,0.421,-0.048,-0.084,0.0,0.65704555,9.80665,97429.82788,-611000.0,-136000.0,-921000.0,45.82,0.179999992,-265.1895447,-28.54822922,15.0,-1.68626523,9.61367321,-72.03912354,0.0,0.0
2018-09-11 19:16:59.560,0.421,-0.048,-0.084,0.0,0.65704555,9.80665,97429.82788,-611000.0,-136000.0,-921000.0,45.82,0.1899999923333333,-265.1895447,-27.94380379,15.666666666666666,-1.6254788636666666,14.367330549999998,-71.86768595666668,0.0,0.0
2018-09-11 19:16:59.600,0.4029999999999999,-0.0456666666666666,-0.0993333333333333,0.0,0.6864655,9.695507966666666,97428.28979333332,-619333.3333333334,-141666.66666666666,-904000.0,45.81666666666667,0.1999999926666666,-265.1895447,-27.33937836,16.333333333333332,-1.5646924973333334,19.12098789,-71.69624837333333,0.0,0.0
2018-09-11 19:16:59.640,0.385,-0.0433333333333333,-0.1146666666666666,0.0,0.71588545,9.584365933333334,97426.75170666666,-627666.6666666666,-147333.33333333334,-887000.0,45.81333333333333,0.209999993,-265.1895447,-26.73495293,17.0,-1.503906131,23.87464523,-71.52481079,0.0,0.0
2018-09-11 19:16:59.680,0.367,-0.041,-0.13,0.0,0.7453054,9.4732239,97425.21362,-636000.0,-153000.0,-870000.0,45.81,0.2299999965,-262.66841125,-25.84041691,18.0,-1.503906131,23.87464523,-71.52481079,0.0,0.0
2018-09-11 19:16:59.720,0.3389999999999999,-0.0375,-0.158,-0.034323275,0.858081875,9.409480675,97427.511595,-633500.0,-153500.0,-890500.0,45.81,0.25,-260.1472778,-24.94588089,19.0,-1.503906131,23.87464523,-71.52481079,0.0,0.0
2018-09-11 19:16:59.760,0.311,-0.034,-0.186,-0.06864655,0.97085835,9.34573745,97429.80957,-631000.0,-154000.0,-911000.0,45.81,0.299999982,-260.1472778,-191.9628754,20.0,-1.503906131,23.87464523,-71.52481079,0.0,0.0
2018-09-11 19:16:59.800,0.297,-0.0343333333333333,-0.2053333333333333,0.0163444166666666,0.91201845,9.437266183333334,97429.80753666666,-633333.3333333334,-159333.33333333334,-901333.3333333334,45.806666666666665,0.299999982,-260.1472778,-191.9628754,20.0,-1.503906131,23.87464523,-71.52481079,0.0,0.0
2018-09-11 19:16:59.840,0.283,-0.0346666666666666,-0.2246666666666666,0.1013353833333333,0.85317855,9.528794916666666,97429.80550333334,-635666.6666666666,-164666.66666666666,-891666.6666666666,45.803333333333335,0.299999982,-260.1472778,-191.9628754,20.0,-1.503906131,23.87464523,-71.52481079,0.0,0.0
2018-09-11 19:16:59.880,0.269,-0.035,-0.244,0.18632635,0.79433865,9.62032365,97429.80347,-638000.0,-170000.0,-882000.0,45.8,0.370000005,-164.2965393,-190.2807007,22.0,-1.503906131,23.87464523,-71.52481079,0.0,0.0
