time,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.magnetic_field.x,field.magnetic_field.y,field.magnetic_field.z,field.fluid_pressure,field.temperature,field.airspeed,field.measured.pitch,field.measured.roll,field.measured.yaw,field.alt_error,field.aspd_error,field.xtrack_error,field.wp_dist
2018-07-18 20:40:12.600,0.241,-0.301,-0.302,-0.16671305,0.69627215,11.42474725,-185000.0,-369000.0,-232000.0,97147.94922,56.25,19.6415195465,3.062958241,42.30096054,-141.265686,-0.239999987,-510.51187135,-39.210004805,5.0
2018-07-18 20:40:12.640,0.242,-0.3136666666666666,-0.315,-0.2451662499999999,0.5557101666666666,11.359369583333333,-180666.66666666663,-373333.3333333333,-228666.66666666663,97145.6604,56.25,19.6415195465,3.062958241,42.30096054,-141.265686,-0.299999982,-502.6872559,-38.14056778,6.0
2018-07-18 20:40:12.680,0.243,-0.3263333333333333,-0.328,-0.32361945,0.4151481833333333,11.293991916666666,-176333.33333333334,-377666.6666666667,-225333.3333333333,97143.37158,56.25,19.6415195465,3.062958241,42.30096054,-141.265686,-0.399999976,-483.6446838,-36.02548981,8.0
2018-07-18 20:40:12.720,0.244,-0.339,-0.341,-0.40207265,0.2745862,11.22861425,-172000.0,-382000.0,-222000.0,97141.08276,56.25,19.6415195465,3.062958241,42.30096054,-141.265686,-0.399999976,-483.6446838,-36.02548981,8.0
2018-07-18 20:40:12.760,0.197,-0.3555,-0.33,-0.4854291749999999,0.201036325,11.586556975,-164000.0,-387500.0,-218000.0,97140.203855,56.245000000000005,19.6415195465,3.062958241,42.30096054,-141.265686,-0.399999976,-483.6446838,-36.02548981,8.0
2018-07-18 20:40:12.800,0.15,-0.372,-0.319,-0.5687857,0.12748645,11.9444997,-156000.0,-393000.0,-214000.0,97139.32495,56.24,19.6415195465,3.062958241,42.30096054,-141.265686,-0.399999976,-483.6446838,-36.02548981,8.0
2018-07-18 20:40:12.840,0.096,-0.3635,-0.2995,-0.671755525,0.269682875,11.77778665,-151000.0,-397500.0,-207500.0,97137.075805,56.24,19.64277055527777,3.0593860150000003,44.75304222,-136.88687894999998,-0.4499999879999999,-473.8983154,-34.964914325,9.0
2018-07-18 20:40:12.880,0.042,-0.355,-0.28,-0.77472535,0.4118793,11.6110736,-146000.0,-402000.0,-201000.0,97134.82666,56.24,19.64402156405556,3.055813789,47.2051239,-132.5080719,-0.5,-464.151947,-33.90433884,10.0
2018-07-18 20:40:12.920,-0.0276666666666666,-0.351,-0.2916666666666667,-0.7714564666666667,0.5557101666666666,11.83662655,-143000.0,-403333.3333333333,-199333.3333333333,97134.35669,56.236666666666665,19.64527257283333,3.055813789,47.2051239,-132.5080719,-0.5533333223333333,-461.3551432,-32.541074120000005,11.333333333333334
2018-07-18 20:40:12.960,-0.0973333333333333,-0.347,-0.3033333333333333,-0.7681875833333333,0.6995410333333333,12.0621795,-140000.0,-404666.6666666667,-197666.66666666663,97133.88672,56.23333333333333,19.64652358161112,3.055813789,47.2051239,-132.5080719,-0.6066666446666666,-458.5583394,-31.1778094,12.666666666666666
2018-07-18 20:40:13.000,-0.167,-0.343,-0.315,-0.7649187,0.8433719,12.28773245,-137000.0,-406000.0,-196000.0,97133.41675,56.23,19.647774590388888,3.055813789,47.2051239,-132.5080719,-0.659999967,-455.7615356,-29.81454468,14.0
2018-07-18 20:40:13.040,-0.178,-0.345,-0.3355,-0.750208725,0.6864655,12.8663248,-133500.0,-407500.0,-196500.0,97134.176635,56.23,19.649025599166663,3.055813789,47.2051239,-132.5080719,-0.659999967,-455.7615356,-29.81454468,14.0
2018-07-18 20:40:13.080,-0.189,-0.347,-0.356,-0.73549875,0.5295591,13.44491715,-130000.0,-409000.0,-197000.0,97134.93652,56.23,19.650276607944445,3.055813789,47.2051239,-132.5080719,-0.659999967,-455.7615356,-29.81454468,14.0
2018-07-18 20:40:13.120,-0.162,-0.3416666666666667,-0.375,-0.7485742833333333,0.4020726499999999,13.546252533333334,-127000.0,-409000.0,-198000.0,97134.28751333331,56.22666666666667,19.651527616722223,3.055813789,47.2051239,-132.5080719,-0.729999959,-465.2778625,-27.78277779,16.0
2018-07-18 20:40:13.160,-0.135,-0.3363333333333333,-0.3939999999999999,-0.7616498166666666,0.2745861999999999,13.647587916666666,-124000.0,-409000.0,-199000.0,97133.63850666668,56.22333333333333,19.6527786255,2.9825100895,46.88050651499999,-127.43244935,-0.7649999555,-470.9648132,-26.78338528,17.0
2018-07-18 20:40:13.200,-0.108,-0.331,-0.413,-0.77472535,0.14709975,13.7489233,-121000.0,-409000.0,-200000.0,97132.9895,56.22,19.61343557185455,2.90920639,46.55588913,-122.3568268,-0.799999952,-476.6517639,-25.78399277,18.0
2018-07-18 20:40:13.240,-0.1413333333333333,-0.3306666666666666,-0.4026666666666667,-0.7256921,0.2026707666666666,13.761998833333331,-117333.33333333331,-410333.3333333333,-201333.3333333333,97132.49511666666,56.22,19.57409251820909,2.90920639,46.55588913,-122.3568268,-0.81999996275,-478.428749075,-25.2929077175,18.5
2018-07-18 20:40:13.280,-0.1746666666666666,-0.3303333333333333,-0.3923333333333333,-0.67665885,0.2582417833333333,13.775074366666669,-113666.66666666669,-411666.6666666667,-202666.66666666663,97132.00073333332,56.22,19.53474946456364,2.90920639,46.55588913,-122.3568268,-0.8399999735,-480.20573425,-24.801822665000003,19.0
2018-07-18 20:40:13.320,-0.208,-0.33,-0.382,-0.6276256,0.3138128,13.7881499,-110000.0,-413000.0,-204000.0,97131.50635,56.22,19.495406410918186,2.90920639,46.55588913,-122.3568268,-0.8683333096666667,-480.0110270166667,-24.149871193333336,19.666666666666668
2018-07-18 20:40:13.360,-0.0784999999999999,-0.31,-0.369,-0.779628675,0.4118793,13.067361125,-103500.0,-413000.0,-207000.0,97129.467775,56.215,19.45606335727273,2.90920639,46.55588913,-122.3568268,-0.8966666458333333,-479.8163197833333,-23.497919721666666,20.33333333333333
2018-07-18 20:40:13.400,0.051,-0.29,-0.356,-0.93163175,0.5099458,12.34657235,-97000.0,-413000.0,-210000.0,97127.4292,56.21,19.416720303627272,2.90920639,46.55588913,-122.3568268,-0.924999982,-479.62161255,-22.84596825,21.0
2018-07-18 20:40:13.440,-0.032,-0.3043333333333333,-0.3503333333333333,-0.8956740333333333,0.5034080333333333,12.202741483333334,-93666.66666666669,-413333.3333333333,-210333.3333333333,97127.92155,56.21,19.37737724998182,2.90920639,46.55588913,-122.3568268,-0.9974999575,-468.253005975,-21.42471123,22.5
2018-07-18 20:40:13.480,-0.115,-0.3186666666666666,-0.3446666666666667,-0.8597163166666667,0.4968702666666666,12.058910616666669,-90333.33333333331,-413666.6666666667,-210666.66666666663,97128.4139,56.21,19.338034196336363,2.90920639,46.55588913,-122.3568268,-1.069999933,-456.8843994,-20.00345421,24.0
2018-07-18 20:40:13.520,-0.198,-0.333,-0.339,-0.8237586,0.4903325,11.91507975,-87000.0,-414000.0,-211000.0,97128.90625,56.21,19.29869114269091,2.90920639,46.55588913,-122.3568268,-1.069999933,-456.8843994,-20.00345421,24.0
2018-07-18 20:40:13.560,-0.174,-0.3335,-0.344,-0.8482752250000001,0.0931631749999999,11.8268199,-82500.0,-414000.0,-213500.0,97126.40381,56.205,19.259348089045453,2.90920639,46.55588913,-122.3568268,-1.069999933,-456.8843994,-20.00345421,24.0
2018-07-18 20:40:13.600,-0.15,-0.334,-0.349,-0.87279185,-0.30400615,11.73856005,-78000.0,-414000.0,-216000.0,97123.90137,56.2,19.2200050354,2.90920639,46.55588913,-122.3568268,-1.149999976,-422.0004883,-18.15649986,26.0
2018-07-18 20:40:13.640,-0.119,-0.341,-0.3426666666666667,-0.784532,-0.1699819333333333,12.755182766666668,-76000.0,-413666.6666666667,-218000.0,97124.22282,56.2,19.24453210831249,2.4027380345,45.12364769,-115.3804779,-1.149999976,-422.0004883,-18.15649986,26.0
2018-07-18 20:40:13.680,-0.088,-0.348,-0.3363333333333333,-0.69627215,-0.0359577166666666,13.771805483333331,-74000.0,-413333.3333333333,-220000.0,97124.54427,56.2,19.269059181225,1.896269679,43.69140625,-108.404129,-1.149999976,-422.0004883,-18.15649986,26.0
2018-07-18 20:40:13.720,-0.057,-0.355,-0.33,-0.6080123,0.0980665,14.7884282,-72000.0,-413000.0,-222000.0,97124.86572,56.2,19.2935862541375,1.896269679,43.69140625,-108.404129,-1.230000019,-422.1389771,-16.31040764,28.0
2018-07-18 20:40:13.760,-0.002,-0.36,-0.3369999999999999,-0.50013915,0.161809725,15.15127425,-66500.0,-413500.0,-222500.0,97122.216795,56.195,19.31811332705,1.896269679,43.69140625,-108.404129,-1.2799999715,-426.98851015,-15.426877975,29.0
