time,field.airspeed,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.magnetic_field.x,field.magnetic_field.y,field.magnetic_field.z,field.fluid_pressure,field.temperature,field.measured.pitch,field.measured.roll,field.measured.yaw,field.alt_error,field.aspd_error,field.xtrack_error,field.wp_dist,fault_state
2018-07-18 19:56:50.880,17.3264045715,2.018,-0.293,0.212,1.79461695,-0.1372931,14.0823494,-194000.0,440000.0,-250000.0,97310.49805,60.04,0.721475124,-50.99129105,88.85004425,-0.059999999,-237.2537537,-36.43005371,7.0,0.0
2018-07-18 19:56:50.920,17.3264045715,2.056,-0.166,0.196,1.8240369,-0.32361945,14.81784815,-194000.0,440000.0,-250000.0,97310.49805,60.04,0.721475124,-50.99129105,88.85004425,-0.059999999,-237.2537537,-36.43005371,7.0,0.0
2018-07-18 19:56:50.960,17.3264045715,2.0006666666666666,-0.153,0.2113333333333333,1.59848395,-0.1634441666666666,14.716512766666666,-186666.66666666663,424333.3333333333,-275000.0,97316.72974,60.03666666666667,2.718510151,-22.4634304,82.60158539,-0.119999997,-232.6404572,-34.64912415,9.0,0.0
2018-07-18 19:56:51.000,17.35863590237,1.9453333333333327,-0.14,0.2266666666666666,1.372931,-0.0032688833333333,14.615177383333334,-179333.33333333334,408666.6666666667,-300000.0,97322.96143,60.03333333333333,2.718510151,-22.4634304,82.60158539,-0.119999997,-232.6404572,-34.64912415,9.0,0.0
2018-07-18 19:56:51.040,17.390867233239998,1.89,-0.127,0.242,1.14737805,0.1569064,14.513842,-172000.0,393000.0,-325000.0,97329.19312,60.03,2.718510151,-22.4634304,82.60158539,-0.179999996,-235.8415604,-33.724315645000004,10.0,0.0
2018-07-18 19:56:51.080,17.42309856411,1.818,-0.163,0.2309999999999999,1.0395048999999998,0.14709975,14.2784824,-166500.0,361500.0,-356000.0,97335.44312,60.025000000000006,2.718510151,-22.4634304,82.60158539,-0.239999995,-239.0426636,-32.79950714,11.0,0.0
2018-07-18 19:56:51.120,17.45532989498,1.746,-0.199,0.22,0.93163175,0.1372931,14.0431228,-161000.0,330000.0,-387000.0,97341.69312,60.02,2.718510151,-22.4634304,82.60158539,-0.239999995,-239.0426636,-32.79950714,11.0,0.0
2018-07-18 19:56:51.160,17.48756122585,1.5923333333333334,-0.2016666666666666,0.201,0.7289609833333334,0.2320907166666666,13.42530385,-157000.0,306666.6666666667,-401666.6666666667,97337.53662333332,60.016666666666666,2.718510151,-22.4634304,82.60158539,-0.329999991,-245.42255405,-31.890340805,12.0,0.0
2018-07-18 19:56:51.200,17.51979255672,1.4386666666666663,-0.2043333333333333,0.182,0.5262902166666668,0.3268883333333333,12.8074849,-153000.0,283333.3333333333,-416333.3333333333,97333.38012666666,60.013333333333335,2.718510151,-22.4634304,82.60158539,-0.419999987,-251.8024445,-30.98117447,13.0,0.0
2018-07-18 19:56:51.240,17.55202388759,1.285,-0.207,0.163,0.32361945,0.42168595,12.18966595,-149000.0,260000.0,-431000.0,97329.22363,60.01,2.718510151,-22.4634304,82.60158539,-0.524999991,-254.39911655000003,-74.159791935,13.5,0.0
