time,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.fluid_pressure,field.magnetic_field.x,field.magnetic_field.y,field.magnetic_field.z,field.temperature,field.alt_error,field.aspd_error,field.xtrack_error,field.wp_dist,field.measured.pitch,field.measured.roll,field.measured.yaw,fault_state,field.airspeed
2018-09-11 19:21:31.400,0.589,0.001,-0.02,-0.0588399,0.4511059,9.50264385,97734.07593,-558000.0,-55000.0,-924000.0,38.45,0.229999989,-168.1379395,-34.99370193,9.0,-2.088458061,9.60470295,-70.86633301,0.0,0.0
2018-09-11 19:21:31.440,0.589,0.001,-0.02,-0.0588399,0.4511059,9.50264385,97734.07593,-558000.0,-55000.0,-924000.0,38.45,0.229999989,-168.1379395,-34.99370193,9.0,-2.088458061,9.60470295,-70.86633301,0.0,0.0
2018-09-11 19:21:31.480,0.589,0.001,-0.02,-0.0588399,0.4511059,9.50264385,97734.07593,-558000.0,-55000.0,-924000.0,38.45,0.229999989,-168.1379395,-34.99370193,9.0,-2.088458061,9.60470295,-70.86633301,0.0,0.0
2018-09-11 19:21:31.520,0.589,0.001,-0.02,-0.0588399,0.4511059,9.50264385,97734.07593,-558000.0,-55000.0,-924000.0,38.45,0.229999989,-168.1379395,-34.99370193,9.0,-2.088458061,9.60470295,-70.86633301,0.0,0.0
2018-09-11 19:21:31.560,0.55,-0.006,-0.031,-0.0980665,0.4314926,9.3751574,97734.07593,-558000.0,-55000.0,-924000.0,38.45,0.229999989,-168.1379395,-34.99370193,9.0,-2.088458061,9.60470295,-70.86633301,0.0,0.0
2018-09-11 19:21:31.600,0.5293333333333333,-0.008,-0.036,-0.0621087833333333,0.4870636166666667,9.407846233333334,97733.76261666667,-567666.6666666666,-61000.0,-924333.3333333334,38.45,0.299999982,-168.1379395,-33.28031921,10.0,-2.088458061,9.60470295,-70.86633301,0.0,0.0
2018-09-11 19:21:31.640,0.5086666666666667,-0.01,-0.041,-0.0261510666666666,0.5426346333333334,9.440535066666667,97733.44930333331,-577333.3333333334,-67000.0,-924666.6666666666,38.45,0.299999982,-168.1379395,-33.28031921,10.0,-2.088458061,9.60470295,-70.86633301,0.0,0.0
2018-09-11 19:21:31.680,0.488,-0.012,-0.046,0.00980665,0.59820565,9.4732239,97733.13599,-587000.0,-73000.0,-925000.0,38.45,0.299999982,-168.1379395,-33.28031921,10.0,-2.088458061,9.60470295,-70.86633301,0.0,0.0
2018-09-11 19:21:31.720,0.4786666666666667,-0.0223333333333333,-0.054,0.0261510666666666,0.5949367666666667,9.613785883333334,97734.5459,-594000.0,-86333.33333333333,-927000.0,38.45,0.370000005,-169.2520142,-31.54146957,12.0,-2.088458061,9.60470295,-70.86633301,0.0,0.0
2018-09-11 19:21:31.760,0.4693333333333333,-0.0326666666666666,-0.062,0.0424954833333333,0.5916678833333333,9.754347866666668,97735.95581,-601000.0,-99666.66666666669,-929000.0,38.45,0.4099999965,-169.2520142,-30.67453384,13.0,-2.088458061,9.60470295,-70.86633301,0.0,0.0
2018-09-11 19:21:31.800,0.46,-0.043,-0.07,0.0588399,0.588399,9.89490985,97737.36572,-608000.0,-113000.0,-931000.0,38.45,0.449999988,-169.2520142,-29.80759811,14.0,-2.088458061,9.60470295,-70.86633301,0.0,0.0
2018-09-11 19:21:31.840,0.462,-0.047,-0.0785,0.014709975,0.6080123,9.89490985,97737.36572,-608000.0,-113000.0,-931000.0,38.45,0.449999988,-169.2520142,-29.80759811,14.0,-2.122128725,20.99424744,-69.98982239,0.0,0.0
2018-09-11 19:21:31.880,0.464,-0.051,-0.087,-0.02941995,0.6276256,9.89490985,97737.36572,-608000.0,-113000.0,-931000.0,38.45,0.494999975,-169.9603119,-28.93749809,15.0,-2.122128725,20.99424744,-69.98982239,0.0,0.0
2018-09-11 19:21:31.920,0.4435,-0.0515,-0.0975,0.06864655,0.73549875,9.860586575,97735.97412,-614000.0,-121000.0,-928000.0,38.45,0.539999962,-170.6686096,-28.06739807,16.0,-2.122128725,20.99424744,-69.98982239,0.0,0.0
2018-09-11 19:21:31.960,0.423,-0.052,-0.108,0.16671305,0.8433719,9.8262633,97734.58252,-620000.0,-129000.0,-925000.0,38.45,0.539999962,-170.6686096,-28.06739807,16.0,-2.122128725,20.99424744,-69.98982239,0.0,0.0
2018-09-11 19:21:32.000,0.407,-0.0596666666666666,-0.1173333333333333,0.1503686333333333,0.8204897166666666,9.9243298,97736.24267666666,-635333.3333333334,-133000.0,-934000.0,38.45,0.639999986,-170.6686096,-26.3062458,17.0,-2.122128725,20.99424744,-69.98982239,0.0,0.0
2018-09-11 19:21:32.040,0.391,-0.0673333333333333,-0.1266666666666666,0.1340242166666666,0.7976075333333333,10.0223963,97737.90283333334,-650666.6666666666,-137000.0,-943000.0,38.45,0.639999986,-170.6686096,-26.3062458,17.0,-2.122128725,20.99424744,-69.98982239,0.0,0.0
2018-09-11 19:21:32.080,0.375,-0.075,-0.136,0.1176798,0.77472535,10.1204628,97739.56299,-666000.0,-141000.0,-952000.0,38.45,0.729999959,-170.7838135,-24.58678246,19.0,-2.122128725,20.99424744,-69.98982239,0.0,0.0
2018-09-11 19:21:32.120,0.381,-0.0834999999999999,-0.151,0.14709975,0.818855275,10.34601575,97739.56299,-683500.0,-143500.0,-952000.0,38.45,0.729999959,-170.7838135,-24.58678246,19.0,-2.122128725,20.99424744,-69.98982239,0.0,0.0
2018-09-11 19:21:32.160,0.387,-0.092,-0.166,0.1765197,0.8629852,10.5715687,97739.56299,-701000.0,-146000.0,-952000.0,38.45,0.7849999665,-170.7838135,-23.71207619,20.0,-2.1032419205,25.310173035,-68.59408188,0.0,0.0
2018-09-11 19:21:32.200,0.3785,-0.101,-0.183,0.22555295,0.907115125,10.54214875,97741.3208,-722000.0,-148500.0,-976000.0,38.45,0.839999974,-170.7838135,-22.83736992,21.0,-2.084355116,29.62609863,-67.19834137,0.0,0.0
