time,field.airspeed,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.magnetic_field.x,field.magnetic_field.y,field.magnetic_field.z,field.fluid_pressure,field.temperature,field.alt_error,field.aspd_error,field.xtrack_error,field.wp_dist,field.measured.pitch,field.measured.roll,field.measured.yaw,fault_state
2018-07-18 20:30:30.240,26.0537910461,0.85,-0.181,-0.121,-0.6276256,0.392266,11.9052731,-91000.0,-122000.0,-430000.0,97254.84009,62.81,-0.519999981,-1111.7266845,-39.62464333,4.5,3.182499647,-5.157012939,-83.29364777,0.0
2018-07-18 20:30:30.280,26.00824470516,0.8089999999999999,-0.1676666666666666,-0.147,-0.71588545,0.3465016333333333,11.535889283333333,-88000.0,-134666.66666666666,-428666.6666666667,97250.72021666668,62.806666666666665,-0.649999976,-1105.37915,-38.44285584,6.0,7.264645576,4.256863594,-82.12002563,0.0
2018-07-18 20:30:30.320,25.96269836422,0.768,-0.1543333333333333,-0.173,-0.8041453,0.3007372666666666,11.166505466666669,-85000.0,-147333.33333333334,-427333.3333333333,97246.60034333332,62.803333333333335,-0.7849999665,-1098.310669,-37.303606035,7.0,7.264645576,4.256863594,-82.12002563,0.0
2018-07-18 20:30:30.360,25.91715202328,0.727,-0.141,-0.199,-0.89240515,0.2549729,10.79712165,-82000.0,-160000.0,-426000.0,97242.48047,62.8,-0.919999957,-1091.242188,-36.16435623,8.0,7.264645576,4.256863594,-82.12002563,0.0
2018-07-18 20:30:30.400,25.87160568234,0.777,-0.1406666666666666,-0.1883333333333333,-1.046042666666667,0.1013353833333333,11.2188076,-80333.33333333333,-169666.66666666666,-422666.6666666667,97242.94637,62.79666666666667,-0.9924999475,-1088.7388004999998,-67.4573774225,8.5,7.264645576,4.256863594,-82.12002563,0.0
2018-07-18 20:30:30.440,25.8260593414,0.827,-0.1403333333333333,-0.1776666666666666,-1.1996801833333333,-0.0523021333333333,11.64049355,-78666.66666666667,-179333.33333333334,-419333.3333333333,97243.41227,62.79333333333333,-1.064999938,-1086.235413,-98.750398615,9.0,7.264645576,4.256863594,-82.12002563,0.0
2018-07-18 20:30:30.480,25.78051300046,0.877,-0.14,-0.167,-1.3533177,-0.20593965,12.0621795,-77000.0,-189000.0,-416000.0,97243.87817,62.79,-1.21249994625,-1057.822983075,-129.4812860325,10.25,7.264645576,4.256863594,-82.12002563,0.0
2018-07-18 20:30:30.520,25.73496665952,0.777,-0.142,-0.126,-1.36312435,-0.2941995,13.1212977,-64000.0,-226000.0,-399000.0,97237.6709,62.78,-1.3599999545,-1029.41055315,-160.21217345000002,11.5,7.264645576,4.256863594,-82.12002563,0.0
2018-07-18 20:30:30.560,25.68942031858,0.6677500000000001,-0.14475,-0.094,-1.4048026125000002,-0.38245935,12.748645,-62000.0,-234500.0,-395000.0,97235.5850225,62.7775,-1.464999953666667,-1009.1779074333332,-159.47534180000002,12.333333333333334,7.604760169666667,6.813402016666666,-81.49783452,0.0
2018-07-18 20:30:30.600,25.64387397764,0.5585,-0.1475,-0.062,-1.446480875,-0.4707192,12.3759923,-60000.0,-243000.0,-391000.0,97233.499145,62.775000000000006,-1.5699999528333335,-988.9452617166668,-158.73851015000002,13.166666666666666,7.944874763333334,9.369940439333334,-80.87564341,0.0
